case,rank,Device,S1_Coverage,S2_Efficiency,S3_Scaling,S4_AccuracyRetention,S5_ThroughputGain,S6_PeakComputeEff,S7_PowerEff,score
UDS_AccuracyStrict,1,RTX PRO 6000 Max-Q,1.0,0.8263328422047096,0.0,1.0,0.7548087720461505,0.0,0.0,0.7662283228501721
UDS_AccuracyStrict,2,Mobilint-ARIES,0.85,0.6031142533266732,0.0,0.6093317579834183,0.9999999797788082,0.9999998092376524,0.9999999811852612,0.6309223740161218
UDS_AccuracyStrict,3,DeepX M1,0.95,0.3786846749911561,0.0,0.884308260520009,0.4433103558414095,0.5378606365082511,0.99512559274432,0.5721914843225158
UDS_AccuracyStrict,4,Hailo-8,0.0,0.0,0.0,0.0,0.0,,,0.0
UDS_LatencyFirst,1,RTX PRO 6000 Max-Q,1.0,0.8263328422047096,0.0,1.0,0.7548087720461505,0.0,0.0,0.748861607070643
UDS_LatencyFirst,2,Mobilint-ARIES,0.85,0.6031142533266732,0.0,0.6093317579834183,0.9999999797788082,0.9999998092376524,0.9999999811852612,0.6303006235504474
UDS_LatencyFirst,3,DeepX M1,0.95,0.3786846749911561,0.0,0.884308260520009,0.4433103558414095,0.5378606365082511,0.99512559274432,0.5216291257696306
UDS_LatencyFirst,4,Hailo-8,0.0,0.0,0.0,0.0,0.0,,,0.0
UDS_ThptFirst,1,RTX PRO 6000 Max-Q,1.0,0.8263328422047096,0.0,1.0,0.7548087720461505,0.0,0.0,0.741709200054787
UDS_ThptFirst,2,Mobilint-ARIES,0.85,0.6031142533266732,0.0,0.6093317579834183,0.9999999797788082,0.9999998092376524,0.9999999811852612,0.6699891961956608
UDS_ThptFirst,3,DeepX M1,0.95,0.3786846749911561,0.0,0.884308260520009,0.4433103558414095,0.5378606365082511,0.99512559274432,0.5280916938546558
UDS_ThptFirst,4,Hailo-8,0.0,0.0,0.0,0.0,0.0,,,0.0
UDS_AccuracyStrict_with_fixed_inputRes,1,RTX PRO 6000 Max-Q,1.0,0.8263328422047096,0.0,1.0,0.7548087720461505,0.0,0.0,0.8994739874202065
UDS_AccuracyStrict_with_fixed_inputRes,2,Mobilint-ARIES,0.85,0.6031142533266732,0.0,0.6093317579834183,0.9999999797788082,0.9999998092376524,0.9999999811852612,0.7449202136596778
UDS_AccuracyStrict_with_fixed_inputRes,3,DeepX M1,0.95,0.3786846749911561,0.0,0.884308260520009,0.4433103558414095,0.5378606365082511,0.99512559274432,0.6689436159766189
UDS_AccuracyStrict_with_fixed_inputRes,4,Hailo-8,0.0,0.0,0.0,0.0,0.0,,,0.0
UDS_LatencyFirst_with_fixed_inputRes,1,RTX PRO 6000 Max-Q,1.0,0.8263328422047096,0.0,1.0,0.7548087720461505,0.0,0.0,0.8821072716406774
UDS_LatencyFirst_with_fixed_inputRes,2,Mobilint-ARIES,0.85,0.6031142533266732,0.0,0.6093317579834183,0.9999999797788082,0.9999998092376524,0.9999999811852612,0.7442984631940033
UDS_LatencyFirst_with_fixed_inputRes,3,DeepX M1,0.95,0.3786846749911561,0.0,0.884308260520009,0.4433103558414095,0.5378606365082511,0.99512559274432,0.6183812574237335
UDS_LatencyFirst_with_fixed_inputRes,4,Hailo-8,0.0,0.0,0.0,0.0,0.0,,,0.0
UDS_ThptFirst_with_fixed_inputRes,1,RTX PRO 6000 Max-Q,1.0,0.8263328422047096,0.0,1.0,0.7548087720461505,0.0,0.0,0.8749548646248214
UDS_ThptFirst_with_fixed_inputRes,2,Mobilint-ARIES,0.85,0.6031142533266732,0.0,0.6093317579834183,0.9999999797788082,0.9999998092376524,0.9999999811852612,0.7839870358392167
UDS_ThptFirst_with_fixed_inputRes,3,DeepX M1,0.95,0.3786846749911561,0.0,0.884308260520009,0.4433103558414095,0.5378606365082511,0.99512559274432,0.6248438255087589
UDS_ThptFirst_with_fixed_inputRes,4,Hailo-8,0.0,0.0,0.0,0.0,0.0,,,0.0
EXT_AccStrict_Both,1,Mobilint-ARIES,0.85,0.6031142533266732,0.0,0.6093317579834183,0.9999999797788082,0.9999998092376524,0.9999999811852612,0.7285845353041649
EXT_AccStrict_Both,2,DeepX M1,0.95,0.3786846749911561,0.0,0.884308260520009,0.4433103558414095,0.5378606365082511,0.99512559274432,0.6194827752897208
EXT_AccStrict_Both,3,RTX PRO 6000 Max-Q,1.0,0.8263328422047096,0.0,1.0,0.7548087720461505,0.0,0.0,0.5155484098526117
EXT_AccStrict_Both,4,Hailo-8,0.0,0.0,0.0,0.0,0.0,,,0.0
EXT_LatFirst_Both,1,Mobilint-ARIES,0.85,0.6031142533266732,0.0,0.6093317579834183,0.9999999797788082,0.9999998092376524,0.9999999811852612,0.7282736600713278
EXT_LatFirst_Both,2,DeepX M1,0.95,0.3786846749911561,0.0,0.884308260520009,0.4433103558414095,0.5378606365082511,0.99512559274432,0.5942015960132782
EXT_LatFirst_Both,3,RTX PRO 6000 Max-Q,1.0,0.8263328422047096,0.0,1.0,0.7548087720461505,0.0,0.0,0.5068650519628473
EXT_LatFirst_Both,4,Hailo-8,0.0,0.0,0.0,0.0,0.0,,,0.0
EXT_ThptFirst_Both,1,Mobilint-ARIES,0.85,0.6031142533266732,0.0,0.6093317579834183,0.9999999797788082,0.9999998092376524,0.9999999811852612,0.7481179463939345
EXT_ThptFirst_Both,2,DeepX M1,0.95,0.3786846749911561,0.0,0.884308260520009,0.4433103558414095,0.5378606365082511,0.99512559274432,0.5974328800557909
EXT_ThptFirst_Both,3,RTX PRO 6000 Max-Q,1.0,0.8263328422047096,0.0,1.0,0.7548087720461505,0.0,0.0,0.5032888484549194
EXT_ThptFirst_Both,4,Hailo-8,0.0,0.0,0.0,0.0,0.0,,,0.0
EXT_AccStrict_Both_with_fixed_inputRes,1,Mobilint-ARIES,0.85,0.6031142533266732,0.0,0.6093317579834183,0.9999999797788082,0.9999998092376524,0.9999999811852612,0.8304579139889465
EXT_AccStrict_Both_with_fixed_inputRes,2,DeepX M1,0.95,0.3786846749911561,0.0,0.884308260520009,0.4433103558414095,0.5378606365082511,0.99512559274432,0.7068368051765609
EXT_AccStrict_Both_with_fixed_inputRes,3,RTX PRO 6000 Max-Q,1.0,0.8263328422047096,0.0,1.0,0.7548087720461505,0.0,0.0,0.6229826582801375
EXT_AccStrict_Both_with_fixed_inputRes,4,Hailo-8,0.0,0.0,0.0,0.0,0.0,,,0.0
EXT_LatFirst_Both_with_fixed_inputRes,1,Mobilint-ARIES,0.85,0.6031142533266732,0.0,0.6093317579834183,0.9999999797788082,0.9999998092376524,0.9999999811852612,0.8301470387561092
EXT_LatFirst_Both_with_fixed_inputRes,2,DeepX M1,0.95,0.3786846749911561,0.0,0.884308260520009,0.4433103558414095,0.5378606365082511,0.99512559274432,0.6815556259001182
EXT_LatFirst_Both_with_fixed_inputRes,3,RTX PRO 6000 Max-Q,1.0,0.8263328422047096,0.0,1.0,0.7548087720461505,0.0,0.0,0.6142993003903731
EXT_LatFirst_Both_with_fixed_inputRes,4,Hailo-8,0.0,0.0,0.0,0.0,0.0,,,0.0
EXT_ThptFirst_Both_with_fixed_inputRes,1,Mobilint-ARIES,0.85,0.6031142533266732,0.0,0.6093317579834183,0.9999999797788082,0.9999998092376524,0.9999999811852612,0.8499913250787159
EXT_ThptFirst_Both_with_fixed_inputRes,2,DeepX M1,0.95,0.3786846749911561,0.0,0.884308260520009,0.4433103558414095,0.5378606365082511,0.99512559274432,0.6847869099426309
EXT_ThptFirst_Both_with_fixed_inputRes,3,RTX PRO 6000 Max-Q,1.0,0.8263328422047096,0.0,1.0,0.7548087720461505,0.0,0.0,0.6107230968824451
EXT_ThptFirst_Both_with_fixed_inputRes,4,Hailo-8,0.0,0.0,0.0,0.0,0.0,,,0.0
