normalized_model,model_family,accelerator_type,mAP50,baseline_mAP50,mAP50_drop,mAP50_drop_percent
yolo11m,YOLO11-M,Mobilint-ARIES,65.2006073,65.75679016,0.5561828599999927,0.8458181408287779
yolo11n,YOLO11-N,Mobilint-ARIES,52.50618362,54.25328064,1.7470970199999982,3.220260598788369
yolo11s,YOLO11-S,Mobilint-ARIES,60.88858414,61.56828308,0.6796989400000015,1.1039757907765935
yolo11m,YOLO11-M,Hailo-8,58.96662903,65.75679016,6.790161129999994,10.326174853544577
yolo11n,YOLO11-N,Hailo-8,47.61535263,54.25328064,6.637928010000003,12.235072113051123
yolo11s,YOLO11-S,Hailo-8,55.47328186,61.56828308,6.09500122,9.899579645708712
yolo11m,YOLO11-M,DeepX M1,65.57006073,65.75679016,0.18672942999999975,0.2839698068376636
yolo11n,YOLO11-N,DeepX M1,53.89831161,54.25328064,0.35496902999999946,0.6542812265223404
yolo11s,YOLO11-S,DeepX M1,61.45746613,61.56828308,0.11081695000000025,0.17999032043171967
yolo11s,YOLO11-S,Apple M4 ANE,61.57973862,61.56828308,-0.011455540000000042,-0.018606235917144307
yolo11n,YOLO11-N,Apple M4 ANE,54.25831604,54.25328064,-0.005035399999997026,-0.00928128205446163
yolo11m,YOLO11-M,Apple M4 ANE,65.75111389,65.75679016,0.005676269999995043,0.00863221879623913
yolo11s,YOLO11-S,RTX PRO 6000 Max-Q,61.56829071,61.56828308,-7.629999998925996e-06,-1.239274447366317e-05
yolo11n,YOLO11-N,RTX PRO 6000 Max-Q,54.25326157,54.25328064,1.9070000000454e-05,3.5149948123863354e-05
yolo11m,YOLO11-M,RTX PRO 6000 Max-Q,65.75676727,65.75679016,2.2889999996777988e-05,3.481009328630829e-05
yolo12m,YOLO12-M,Mobilint-ARIES,65.3168335,67.24850464,1.9316711399999917,2.87243731342543
yolo12n,YOLO12-N,Mobilint-ARIES,54.79487228,55.77432632,0.9794540400000002,1.756101964155468
yolo12s,YOLO12-S,Mobilint-ARIES,62.07860184,62.77750778,0.6989059400000031,1.1133062855079832
yolo12s,YOLO12-S,DeepX M1,62.30085373,62.77750778,0.4766540500000005,0.7592752035815215
yolo12n,YOLO12-N,DeepX M1,55.4330101,55.77432632,0.34131622000000306,0.6119593772262404
yolo12s,YOLO12-S,Apple M4 ANE,62.78076935,62.77750778,-0.003261569999999381,-0.005195443583758305
yolo12n,YOLO12-N,Apple M4 ANE,55.77677917,55.77432632,-0.0024528499999973974,-0.004397811971630816
