accelerator,model,throughput_original,throughput_scaled
Apple M4 CPU,yolo11m,7.713530162,32.403471723246675
Apple M4 CPU,yolo11n,61.39968481,61.87035166806333
Apple M4 CPU,yolo11s,22.33143392,47.14563688520373
Apple M4 CPU,yolo12m,6.766239885,30.680812957022418
Apple M4 CPU,yolo12n,50.03313061,58.86054649061962
Apple M4 CPU,yolo12s,19.20740566,44.99397812131721
Apple M4 CPU,yolov10m,8.593066375,33.842830038947604
Apple M4 CPU,yolov10n,59.8626681,61.49705083692402
Apple M4 CPU,yolov10s,21.90825948,46.87166568121594
Apple M4 CPU,yolov5mu,8.26186175,33.316928432826025
Apple M4 CPU,yolov5nu,55.7427014,60.44791282377296
Apple M4 CPU,yolov5su,20.75717943,46.100019155211235
Apple M4 CPU,yolov7,2.743876021,19.759329380749705
Apple M4 CPU,yolov7x,0.877187985,9.42635227137878
Apple M4 CPU,yolov8m,6.447345146,30.05323494863152
Apple M4 CPU,yolov8n,50.93950798,59.12405020379271
Apple M4 CPU,yolov8s,17.84451734,43.94881863204131
Apple M4 CPU,yolov9m,5.926545483,28.968122309282
Apple M4 CPU,yolov9s,17.77184055,43.89098135419432
Apple M4 CPU,yolov9t,48.35619353,58.360445232105846
Apple M4 ANE,yolo11m,72.18662006,64.2570050982856
Apple M4 ANE,yolo11n,171.10395309999998,77.05577227019401
Apple M4 ANE,yolo11s,141.02053569999998,74.18005136514083
Apple M4 ANE,yolo12m,32.13160419,52.39464028897192
Apple M4 ANE,yolo12n,108.3764186,70.27081289964008
Apple M4 ANE,yolo12s,59.09950203,61.30818058610324
Apple M4 ANE,yolov10m,92.68414936,67.95280320945349
Apple M4 ANE,yolov10n,182.2182466,77.99244856362907
Apple M4 ANE,yolov10s,145.9683631,74.69263428755286
Apple M4 ANE,yolov5mu,102.5877177,69.45691497750656
Apple M4 ANE,yolov5nu,211.9321034,80.24204040771203
Apple M4 ANE,yolov5su,183.9667852,78.13461617643287
Apple M4 ANE,yolov7,56.4136597,60.62386260242691
