accelerator,model,throughput_original,throughput_scaled
Apple M4 CPU,yolo11m,3.2913714619282746,21.802210071110284
Apple M4 CPU,yolo11n,19.27291060246984,45.042419764063176
Apple M4 CPU,yolo11s,7.980808008287527,32.85569195146398
Apple M4 CPU,yolo12m,3.0088772331216593,20.782974535376045
Apple M4 CPU,yolo12n,16.218903914782853,42.59850992225886
Apple M4 CPU,yolo12s,6.955033410363457,31.040320963979607
Apple M4 CPU,yolov10m,3.224513449804004,21.567181364794493
Apple M4 CPU,yolov10n,19.628551166365764,45.30271829472393
Apple M4 CPU,yolov10s,7.644352896625453,32.28416710870828
Apple M4 CPU,yolov5mu,3.3094490790432673,21.865130293354525
Apple M4 CPU,yolov5nu,18.127980755324028,44.17229120251949
Apple M4 CPU,yolov5su,7.7099333947643345,32.397292040796394
Apple M4 CPU,yolov7,2.2284668875987164,17.54238589096406
Apple M4 CPU,yolov7x,1.3440452599004962,12.750752314702208
Apple M4 CPU,yolov8m,2.714964507501123,19.64329411771319
Apple M4 CPU,yolov8n,16.868355333226226,43.152669877100486
Apple M4 CPU,yolov8s,6.548479134613348,30.255128147007078
Apple M4 CPU,yolov9m,2.895323319482592,20.352881562230884
Apple M4 CPU,yolov9s,6.451214534485191,30.061009697510425
Apple M4 CPU,yolov9t,15.974096285338492,42.38417967195966
Apple M4 ANE,yolo11m,25.464359562247136,49.031541646435194
Apple M4 ANE,yolo11n,55.31416536760381,60.33444289306767
Apple M4 ANE,yolo11s,40.53049663435282,55.77647338117199
Apple M4 ANE,yolo12m,11.244489238166688,37.495505880004444
Apple M4 ANE,yolo12n,26.94541585842185,49.846602888793754
Apple M4 ANE,yolo12s,19.055282414363823,44.88087275945565
Apple M4 ANE,yolov10m,36.48776322290633,54.243568126378285
Apple M4 ANE,yolov10n,71.54911466831956,64.12605407749514
Apple M4 ANE,yolov10s,48.98183533274548,58.5489855667811
Apple M4 ANE,yolov5mu,51.62205281169954,59.31946327234978
Apple M4 ANE,yolov5nu,76.88487891839047,65.18829048097193
Apple M4 ANE,yolov5su,66.93053673812811,63.141499678541365
Apple M4 ANE,yolov7,26.788447994211932,49.76229250705729
Apple M4 ANE,yolov7x,22.739393687171344,47.40509346343158
Apple M4 ANE,yolov8m,33.60076455125899,53.04406584155461
Apple M4 ANE,yolov8n,59.49362306148693,61.40601618726769
Apple M4 ANE,yolov8s,45.586112964919785,57.49589291806353
Apple M4 ANE,yolov9m,46.17847819458679,57.68501610731635
Apple M4 ANE,yolov9s,63.115742469676704,62.276423941147264
Apple M4 ANE,yolov9t,74.72383473621491,64.76711337205653
Mobilint-ARIES,yolo11m,35.772813217935436,53.955351462434685
Mobilint-ARIES,yolo11n,90.30031418396005,67.5670111162692
Mobilint-ARIES,yolo11s,57.86716477055527,60.9980760416005
Mobilint-ARIES,yolo12m,19.905148377094378,45.502080078377375
Mobilint-ARIES,yolo12n,43.40937898024123,56.779656085876574
Mobilint-ARIES,yolo12s,29.909162496752916,51.3553506431161
Mobilint-ARIES,yolov10m,28.782905857079907,50.799774491464404
Mobilint-ARIES,yolov10n,70.72816671162467,63.9557164187128
Mobilint-ARIES,yolov10s,54.514475297313936,60.12036867256537
Mobilint-ARIES,yolov5mu,38.0249654964315,54.84507982916771
Mobilint-ARIES,yolov5nu,97.31520629361573,68.67499559074037
Mobilint-ARIES,yolov5su,68.32803794683407,63.44630042452103
Mobilint-ARIES,yolov7,35.071104110407475,53.66697117837711
Mobilint-ARIES,yolov7x,22.120427896406966,47.0096543838394
Mobilint-ARIES,yolov8m,33.366192671293824,52.94224776974813
Mobilint-ARIES,yolov8n,87.98442797395309,67.18244550679542
Mobilint-ARIES,yolov8s,59.983771942351694,61.52680402662307
Mobilint-ARIES,yolov9m,34.605968242248984,53.472706439146755
Mobilint-ARIES,yolov9s,55.29370881838611,60.32900473369951
Mobilint-ARIES,yolov9t,78.2157799228459,65.44190052362039
DeepX M1,yolo11m,17.85520135588128,43.957302321003766
DeepX M1,yolo11n,30.16003008475065,51.47634333351703
DeepX M1,yolo11s,20.924250014821638,46.214516015937335
DeepX M1,yolo12m,5.554567814533937,28.141913782757484
DeepX M1,yolo12n,13.651849861089552,40.18208771042042
DeepX M1,yolo12s,7.823541694449042,32.59126288144818
DeepX M1,yolov10m,20.435472396515912,45.87704884951585
DeepX M1,yolov10n,30.531019544250807,51.65349670003751
DeepX M1,yolov10s,23.783368310708617,48.04926237968272
DeepX M1,yolov5mu,25.366458869083196,48.97606793335687
DeepX M1,yolov5nu,37.03713198926949,54.46132396263467
DeepX M1,yolov5su,21.775097641660896,46.784406464242124
DeepX M1,yolov7,15.872859091999569,42.29464111447094
DeepX M1,yolov7x,12.857745415911475,39.34804702201808
DeepX M1,yolov8m,18.875352275017246,44.74597990241759
DeepX M1,yolov8n,34.268790285278264,53.330290312549785
DeepX M1,yolov8s,31.805611916513456,52.246637960233194
DeepX M1,yolov9m,18.93007350975742,44.78713296861857
DeepX M1,yolov9s,31.5765943869706,52.14178052260537
DeepX M1,yolov9t,33.985402447881604,53.20953684093475
Hailo-8,yolo11m,15.527929273108244,41.98548504807021
Hailo-8,yolo11n,25.567964343759645,49.090024425770665
Hailo-8,yolo11s,20.755037436560468,46.098545502196004
Hailo-8,yolo12m,0.0,0.0
Hailo-8,yolo12n,0.0,0.0
Hailo-8,yolo12s,0.0,0.0
Hailo-8,yolov10m,19.882545204289208,45.485887747978296
Hailo-8,yolov10n,31.13591746326601,51.9379228435022
Hailo-8,yolov10s,25.716597350565923,49.17352766117378
Hailo-8,yolov5mu,17.454545587580828,43.63582221572424
Hailo-8,yolov5nu,30.078947594123978,51.437344359076604
Hailo-8,yolov5su,28.007601009725324,50.40497300081639
Hailo-8,yolov7,20.86380811986301,46.17319500175526
Hailo-8,yolov7x,11.406649225379859,37.69243108014005
Hailo-8,yolov8m,18.69694715536363,44.61101921564407
Hailo-8,yolov8n,30.388110474310363,51.58550339666884
Hailo-8,yolov8s,28.13406249673522,50.47008481955165
Hailo-8,yolov9m,19.543021078406216,45.24052974883629
Hailo-8,yolov9s,22.685484615832824,47.37106486018737
Hailo-8,yolov9t,25.356035163985883,48.97014939473413
RTX PRO 6000 Max-Q,yolo11m,78.75859083547805,65.54411477539783
RTX PRO 6000 Max-Q,yolo11n,170.08492540855778,76.96688442721839
RTX PRO 6000 Max-Q,yolo11s,122.78368581952917,72.12293380445269
RTX PRO 6000 Max-Q,yolo12m,62.9763441322475,62.243845989385036
RTX PRO 6000 Max-Q,yolo12n,142.81792440222006,74.36829286689053
RTX PRO 6000 Max-Q,yolo12s,104.66794078776542,69.7545166168702
RTX PRO 6000 Max-Q,yolov10m,87.09902081164297,67.03276784537458
RTX PRO 6000 Max-Q,yolov10n,216.3442897904693,80.54902025432459
RTX PRO 6000 Max-Q,yolov10s,158.51847424160798,75.91913263579714
RTX PRO 6000 Max-Q,yolov5mu,66.69467638544515,63.08943978706176
RTX PRO 6000 Max-Q,yolov5nu,177.19010400725278,77.57593827269064
RTX PRO 6000 Max-Q,yolov5su,129.8578648453892,72.95478730913003
RTX PRO 6000 Max-Q,yolov7,45.18179362522582,57.36542076789861
RTX PRO 6000 Max-Q,yolov7x,24.23782706992244,48.321244698954565
RTX PRO 6000 Max-Q,yolov8m,58.65922736579848,61.19812634530926
RTX PRO 6000 Max-Q,yolov8n,168.61532147854484,76.83775689219718
RTX PRO 6000 Max-Q,yolov8s,112.62876277813957,70.84170549555246
RTX PRO 6000 Max-Q,yolov9m,61.68228583966642,61.93798613549833
RTX PRO 6000 Max-Q,yolov9s,85.16798545374414,66.7010406001423
RTX PRO 6000 Max-Q,yolov9t,103.25847314762326,69.55352272522386
